class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rArmWidth	rArmHeight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsoWidth	torsoHeight	lArmLeft	lArmRight	lArmTop	lArmBottom	lArmWidth	lArmHeight	headLeft	headRight	headTop	headBottom	headWidth	headHeight	neckLeft	neckRight	neckTop	neckBottom	neckWidth	neckHeight	rHandLeft	rHandRight	rHandTop	rHandBottom	rHandWidth	rHandHeight	lHandLeft	lHandRight	lHandTop	lHandBottom	lHandWidth	lHandHeight	beltLeft	beltRight	beltTop	beltBottom	beltWidth	beltHeight	feetLeft	feetRight	feetTop	feetBottom	feetWidth	feetHeight	glovesLeft	glovesRight	glovesTop	glovesBottom	glovesWidth	glovesHeight
Amazon	320	640	0	441	10	9	339	626	123	383	29	29	329	384	6	118	55	112	451	507	8	90	56	82	575	630	6	118	55	112	394	448	8	59	54	51	409	432	67	91	23	24	394	417	96	120	23	24	426	449	96	120	23	24	454	506	95	120	52	25	514	568	68	120	54	52	514	568	9	62	54	53
Sorceress	320	640	0	441	10	9	339	626	123	383	29	29	329	384	6	118	55	112	451	507	8	90	56	82	575	630	6	118	55	112	394	448	8	59	54	51	409	432	67	91	23	24	394	417	96	120	23	24	426	449	96	120	23	24	454	506	95	120	52	25	514	568	68	120	54	52	514	568	9	62	54	53
Necromancer	320	640	0	441	10	9	339	626	123	383	29	29	329	384	6	118	55	112	451	507	8	90	56	82	575	630	6	118	55	112	394	448	8	59	54	51	409	432	67	91	23	24	394	417	96	120	23	24	426	449	96	120	23	24	454	506	95	120	52	25	514	568	68	120	54	52	514	568	9	62	54	53
Paladin	320	640	0	441	10	9	339	626	123	383	29	29	329	384	6	118	55	112	451	507	8	90	56	82	575	630	6	118	55	112	394	448	8	59	54	51	409	432	67	91	23	24	394	417	96	120	23	24	426	449	96	120	23	24	454	506	95	120	52	25	514	568	68	120	54	52	514	568	9	62	54	53
Barbarian	320	640	0	441	10	9	339	626	123	383	29	29	329	384	6	118	55	112	451	507	8	90	56	82	575	630	6	118	55	112	394	448	8	59	54	51	409	432	67	91	23	24	394	417	96	120	23	24	426	449	96	120	23	24	454	506	95	120	52	25	514	568	68	120	54	52	514	568	9	62	54	53
Monster	0	321	0	442	10	10	16	305	63	352	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 1	0	321	0	219	10	4	20	305	41	148	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 2	0	321	220	442	10	4	20	305	255	368	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page 1	0	321	220	442	6	4	74	244	273	386	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box Page 1	0	321	220	442	3	4	118	205	139	253	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
